e_cis;velikost;kraj;okres;mesto;ul_cis;ul_cis1;ul_cisn;vgs84_n;vgs84_eo
26270;CLP;Banská Bystrica;;Banská Bystrica;časť Senica-AZ;otočka autobusov,P,vnt;;48.752662;19.190889
26271;CLP;Banská Bystrica;;Banská Bystrica;časť Šalková-AZ;otočka autobusov,P,vnk;;48.738201;19.208924
26272;CLP;Banská Bystrica;;Banská Bystrica;časť Šalková-AZ;otočka autobusov,P,vnt;;48.738201;19.208924
26273;CLP;Banská Bystrica;;Banská Bystrica;časť Šalková-AZ;otočka autobusov,Ľ,vnt;;48.738201;19.208924
26274;CLP;Banská Bystrica;;Banská Bystrica;časť Šalková-AZ;otočka autobusov,Ľ,vnk;;48.738201;19.208924
26305;CLP;Banská Bystrica;;Banská Bystrica;Mlynská-AZ;časť Podlavice,vnt,Ľ otočka autobusov;;48.742893;19.089668
26306;CLP;Banská Bystrica;;Banská Bystrica;Mlynská-AZ;časť Podlavice,vnk,Ľ otočka autobusov;;48.742893;19.089668
26307;CLP;Banská Bystrica;;Banská Bystrica;Námestie S.H.Vajanského-AZ;oproti OC POINT,P,vnk,centrum mesta;;48.731837;19.140086
26308;CLP;Banská Bystrica;;Banská Bystrica;Námestie S.H.Vajanského-AZ;oproti OC POINT,P,vnt,centrum mesta;;48.731837;19.140086
26309;CLP;Banská Bystrica;;Banská Bystrica;Námestie S.H.Vajanského-AZ;oproti OC POINT,vnt,Ľ centrum mesta;;48.731876;19.140075
26310;CLP;Banská Bystrica;;Banská Bystrica;Námestie S.H.Vajanského-AZ;oproti OC POINT,Ľvnk, centrum mesta;;48.731876;19.140075
17110;CLV;Prešov;;Bardejov;Dlhý rad;Úrad,práce,hotel,kostol,5 Agro potraviny,VÚB,Unicredit,katastrálny úrad;;49.294607;21.274486
17111;CLV;Prešov;;Bardejov;Dlhý rad;Úrad,práce,hotel,kostol,5 Agro potraviny,VÚB,Unicredit,katastrálny úrad;;49.294607;21.274486
17116;CLV;Prešov;;Bardejov;Komenského;oproti nákup.stredisku,obyt.bloky,príj.k centru;;49.289362;21.266278
17117;CLV;Prešov;;Bardejov;Komenského;oproti nákup.stredisku,obyt.bloky,príj.k centru;;49.289362;21.266278
17118;CLV;Prešov;;Bardejov;Komenského,OC Makos;pri nároží s Gorkého ul.,pri trhovisku Priemyselná škola,PNS;;49.291126;21.268284
17119;CLV;Prešov;;Bardejov;Komenského,OC Makos;pri nároží s Gorkého ul.,pri trhovisku Priemyselná škola,PNS;;49.291126;21.268284
17120;CLV;Prešov;;Bardejov;Partizánska;pred Gorlickou ul.,križov cintorín;;49.292216;21.26428
17121;CLV;Prešov;;Bardejov;Partizánska;pred Gorlickou ul.,križov cintorín;;49.292216;21.26428
17124;CLV;Prešov;;Bardejov;Partizánska,Hotel Šariš;za križ Gorkého/Mlynská,pri šport.hale,príj.k centru Poliklinika,SLSP,Okresný súd;;49.292209;21.26929
17125;CLV;Prešov;;Bardejov;Partizánska,Hotel Šariš;za križ Gorkého/Mlynská,pri šport.hale,príj.k centru Poliklinika,SLSP,Okresný súd;;49.292198;21.269297
17126;CLV;Prešov;;Bardejov;Slovenská,SAD;ŽSR,sm Bardej.kúpele/centrum CBA potraviny,Hobby,kostol;;49.298014;21.281304
17127;CLV;Prešov;;Bardejov;Slovenská,SAD;ŽSR,sm Bardej.kúpele/centrum CBA potraviny,Hobby,kostol;;49.298014;21.281304
17166;CLV;Prešov;;Bardejov;Dlhý rad;Úrad práce,hotel,kostol,pošta,4 Agro potraviny,VÚB,Unicredit,katastrálny úrad,Orange;;49.294786;21.275503
17167;CLV;Prešov;;Bardejov;Dlhý rad;obvodný úrad,hotel,kostol,pošta,4 Agro potraviny,VÚB,Unicredit,katastrálny úrad,Orange;;49.294786;21.275503
17318;CLV;Prešov;;Bardejov;Dlhý rad;pošta, obchodný dom,hotel,1 Agro potraviny,SLSP,lekáreň,Pro elektro,PNS;;49.295072;21.27824
17319;CLV;Prešov;;Bardejov;Dlhý rad;pošta, obchodný dom,hotel,1 Agro potraviny,SLSP,lekáreň,Pro elektro,PNS;;49.295072;21.27824
17320;CLV;Prešov;;Bardejov;Dlhý rad;pošta,kostol,hotel,2 Agro potraviny,SLSP,lekáreň,Pro elektro,PNS;;49.294939;21.2778
17321;CLV;Prešov;;Bardejov;Dlhý rad;pošta,kostol,hotel,2 Agro potraviny,SLSP,lekáreň,Pro elektro,PNS;;49.294939;21.2778
17322;CLV;Prešov;;Bardejov;Dlhý rad;pošta,katastrálny úrad,hotel,3 Agro potraviny,SLSP,lekáreň,Pro elektro,PNS,VUB;;49.294848;21.277038
17323;CLV;Prešov;;Bardejov;Dlhý rad;pošta,katastrálny úrad,hotel,3 Agro potraviny,SLSP,lekáreň,Pro elektro,PNS,VUB;;49.294848;21.277038
27302;CLP;Prešov;;Bardejov;Jiráskova-AZ;pri SOU,Ľ,vnt Poliklinika,SLSP,Okresný súd, reštaurácie;;49.292177;21.272151
27303;CLP;Prešov;;Bardejov;Jiráskova-AZ;pri SOU,Ľ,vnk Poliklinika,SLSP,Okresný súd, reštaurácie;;49.292177;21.272151
27304;CLP;Prešov;;Bardejov;Jiráskova-AZ;pri obytnom dome A6,Ľ,vnt Poliklinika,SLSP,Okresný súd, reštaurácie;;49.291943;21.27159
27305;CLP;Prešov;;Bardejov;Jiráskova-AZ;pri obytnom dome A6,Ľ,vnt Poliklinika,SLSP,Okresný súd, reštaurácie;;49.291943;21.27159
27306;CLP;Prešov;;Bardejov;Dlhý rad-AZ;park,hotel Šariš,P,vnk Agro potraviny,VÚB,Unicredit,Orange;;49.295116;21.274057
27307;CLP;Prešov;;Bardejov;Dlhý rad-AZ;park,hotel Šariš,P,vnt Agro potraviny,VÚB,Unicredit,Orange;;49.295116;21.274057
27308;CLP;Prešov;;Bardejov;Dlhý rad-AZ;park,hotel Šariš,Ľ,vnt Agro potraviny,VÚB,Unicredit,Orange;;49.29506;21.274083
27309;CLP;Prešov;;Bardejov;Dlhý rad-AZ;park,hotel Šariš,Ľ,vnk Agro potraviny,VÚB,Unicredit,Orange;;49.29506;21.274083
27336;CLP;Prešov;;Bardejov;Dlhý rad-AZ;pri šport.hale,sm centr,Ľ,vnt hotel Šariš,poliklinika,SLSP,Okresný súd;;49.29367;21.270088
27337;CLP;Prešov;;Bardejov;Dlhý rad-AZ;pri šport.hale,sm centr,Ľ,vnk hotel Šariš,poliklinika,SLSP,Okresný súd;;49.29367;21.270088
27338;CLP;Prešov;;Bardejov;Pod Vinbargom-AZ;OD Lidl,sm kruh.objazd,Ľ,vnt Hotelová akadémia,Základ.škola;;49.3013;21.278863
27339;CLP;Prešov;;Bardejov;Pod Vinbargom-AZ;OD Lidl,sm kruh.objazd,Ľ,vnk Hotelová akadémia,Základ.škola;;49.3013;21.278863
27340;CLP;Prešov;;Bardejov;Komenského-AZ;oproti trhovisku,Ľ,vnt OC Makos,Priemyselná škola;;49.291058;21.269488
27341;CLP;Prešov;;Bardejov;Komenského-AZ;oproti trhovisku,Ľ,vnk OC Makos,Priemyselná škola;;49.291058;21.269488
27342;CLP;Prešov;;Bardejov;Komenského-AZ;pred trhoviskom,Ľ,vnt OC Makos,Priemyselná škola,lekáreň;;49.290557;21.267321
27343;CLP;Prešov;;Bardejov;Komenského-AZ;pred trhoviskom,Ľ,vnk OC Makos,Priemyselná škola,lekáreň;;49.290557;21.267321
27352;CLP;Prešov;;Bardejov;Komenského-AZ;oproti garážam,sm centr,Ľ,vnt;;49.287527;21.265106
27353;CLP;Prešov;;Bardejov;Komenského-AZ;oproti garážam,sm centr,Ľ,vnk;;49.287527;21.265106
27354;CLP;Prešov;;Bardejov;Komenského-AZ;pri garážach,sm Tačevská,Ľ,vnt;;49.286775;21.264094
27355;CLP;Prešov;;Bardejov;Komenského-AZ;pri garážach,sm Tačevská,Ľ,vnk;;49.286775;21.264094
27356;CLP;Prešov;;Bardejov;Pod Vinbargom-AZ;pod poštou,sm centr,P,vnk;;49.304167;21.272274
27357;CLP;Prešov;;Bardejov;Pod Vinbargom-AZ;pod poštou,sm centr,P,vnt;;49.304167;21.272274
27358;CLP;Prešov;;Bardejov;Pod Vinbargom-AZ;pod poštou,sm centr,Ľ,vnt;;49.304167;21.271924
27359;CLP;Prešov;;Bardejov;Pod Vinbargom-AZ;pod poštou,sm centr,Ľ,vnk;;49.304167;21.271924
27360;CLP;Prešov;;Bardejov;Partizánska-AZ;oproti polícii,Ľ,vnt kaviareň;;49.292188;21.267315
27361;CLP;Prešov;;Bardejov;Partizánska-AZ;oproti polícii,Ľ,vnk kaviareň;;49.292188;21.267315
