e_cis;velikost;kraj;okres;mesto;ul_cis;ul_cis1;ul_cisn;vgs84_n;vgs84_eo
40695;24;Bratislava;Bratislava 5;Bratislava 5-Rusovce;ťah BA-Rusovce,E-75,O;výjazd smer BA,2,Ľ futbalový štadion, hrádza;;48.061654;17.145494
40696;24;Bratislava;Bratislava 5;Bratislava 5-Rusovce;ťah BA-Rusovce,E-75,O;píjazd od BA,smer Maďarsko 2 futbalový štadion, hrádza;;48.061655;17.145511
40697;24;Bratislava;Bratislava 5;Bratislava 5-Rusovce;ťah BA-Rusovce,E-75,O;výjazd smer BA,3,Ľ futbalový štadion, hrádza;;48.062453;17.145784
40698;24;Bratislava;Bratislava 5;Bratislava 5-Rusovce;ťah BA-Rusovce,E-75,O;príjazd od BA,smer Maďarsko 3 futbalový štadion, hrádza;;48.062432;17.145805
40699;24;Bratislava;Bratislava 5;Bratislava 5-Rusovce;ťah Rusovce-BA,E-75,O;príj.od BA,sm MR,1,Ľ futbalový štadion, hrádza;;48.061982;17.146455
40700;24;Bratislava;Bratislava 5;Bratislava 5-Rusovce;ťah Rusovce-BA,E-75,O;výjazd smer BA,1 futbalový štadion, hrádza;;48.061968;17.146406
40701;24;Bratislava;Bratislava 5;Bratislava 5-Rusovce;ťah Rusovce-BA,E-75,O;príj.od BA,sm MR,2,Ľ futbalový štadion, hrádza;;48.06116;17.146167
40702;24;Bratislava;Bratislava 5;Bratislava 5-Rusovce;ťah Rusovce-BA,E-75,O;výjazd smer BA,2, futbalový štadion, hrádza;;48.06116;17.146167
40703;24;Bratislava;Bratislava 5;Bratislava 5-Rusovce;ťah Rusovce-BA,E-75,O;príj.od BA,sm MR,3,Ľ futbalový štadion, hrádza;;48.060137;17.146321
40704;24;Bratislava;Bratislava 5;Bratislava 5-Rusovce;ťah Rusovce-BA,E-75,O;výjazd smer BA,3, futbalový štadion, hrádza;;48.060137;17.146321
40705;24;Bratislava;Bratislava 1;Bratislava 1-Staré Mesto;29.augusta/Špitálska;centrum,oplot.MŠ,1 Medická záhrada,Lekárska fakulta;;48.149442;17.116685
40706;24;Bratislava;Bratislava 1;Bratislava 1-Staré Mesto;29.augusta/Špitálska;centrum,oplot.MŠ,2 Medická záhrada,Lekárska fakulta;;48.149462;17.116476
40707;24;Bratislava;Bratislava 1;Bratislava 1-Staré Mesto;29.augusta/Špitálska;centrum,oplot.MŠ,3 Medická záhrada,Lekárska fakulta;;48.149486;17.116146
